From_Date,From Time,Offense,Zip Code,DVFlag,Race,Sex,Firearm Used Flag  
41959,0.02,302,64110,N,B,M,Y
41647,0.12,901,64120,U,B,F,N
41725,0.68,501,64110,U,B,F,N
41990,0.99,1401,64129,U,U,U,N
41998,0.41,802,64118,Y,W,M,N
41747,0.4,1849,64127,U,,,N
41955,0.5,2601,64138,N,U,U,N
41635,0.67,650,64117,N,W,M,N
41754,0.97,702,64111,U,U,U,N
41945,0.13,302,64120,U,W,M,Y
41879,0.71,690,,U,A,F,N
41893,0.06,702,64114,N,W,M,N
41909,0.57,1850,64123,U,,,N
41283,0.98,640,64155,N,I,F,N
41823,0.93,1849,64127,U,,,N
41673,0.05,1849,64111,N,W,M,N
41708,0.9,702,64109,U,U,U,N
41781,0.92,210,64137,Y,B,M,N
41784,0.86,840,64105,U,,,N
41912,0.98,802,64127,Y,B,F,N
41653,0.54,630,64119,U,W,M,N
41820,0.77,1401,64131,U,B,F,N
41845,0.04,1401,64116,N,U,U,N
41914,0.6,1401,64114,U,W,M,N
41953,0,2601,64153,N,U,U,N
41712,0.51,801,64108,U,W,M,N
41991,0.82,501,64132,U,U,U,N
41906,0.67,2601,64134,N,B,M,N
41730,0.05,1850,64126,U,,,N
41661,0.1,502,64131,N,U,U,N
41728,0.48,630,64114,U,,,N
41736,0.32,2601,64106,U,,,N
41703,0.71,630,64154,U,,,N
41739,0.39,501,64128,U,U,U,N
41668,0.55,1702,64111,U,B,F,N
41991,0.23,901,64130,U,U,U,N
41823,0.75,2655,64124,U,W,M,N
41744,0.68,301,64119,N,W,F,N
41828,0.68,801,64108,U,W,F,N
41959,0.46,640,64129,U,W,F,N
41710,0.1,302,64118,U,,,N
40909,0.33,1198,64123,U,W,F,N
42001,0.92,670,64114,U,W,M,N
41901,0.9,670,64111,U,U,U,N
41733,0.88,640,64118,U,U,U,N
41835,0.5,670,64118,N,W,M,N
41911,0.56,630,64133,U,,,N
41710,0.92,1401,64111,U,,,N
41997,0.99,702,64111,N,U,U,N
41952,0.71,501,64123,U,W,M,N
41959,0.04,1401,64131,U,B,M,N
41921,0.35,501,64151,U,U,U,N
41713,0.02,2604,64105,N,A,F,N
41709,0.51,1850,64134,U,,,N
41812,0.66,501,64127,U,U,U,N
41803,0.14,702,64129,U,U,U,N
41724,0.72,650,64106,U,U,U,N
41920,0.06,630,64114,U,,,N
41650,0.72,2601,64131,Y,B,F,N
41947,0.05,301,64127,U,I,M,N
41653,0.84,1546,64127,U,,,Y
41787,0.35,501,64124,U,B,M,N
41670,0.65,670,64130,U,B,M,N
41936,0.9,1201,64130,U,,,N
41640,0.5,501,64127,U,U,U,N
41970,0.15,1850,64128,U,,,N
41872,0.61,1170,64153,N,U,F,N
41920,0.26,702,64130,U,B,F,N
41700,0.15,702,64118,U,U,U,N
41716,0.4,1401,64130,N,B,F,N
41783,0.96,702,64132,U,B,M,N
41932,0.6,670,64108,U,B,F,N
41844,0.69,1401,64136,N,U,U,N
41831,0.07,2655,64106,U,W,M,N
41634,0.5,690,64134,U,U,M,N
41977,0.67,799,64127,U,U,F,N
41880,0.96,702,64130,U,B,F,N
41855,0.06,401,64132,U,B,F,Y
41739,0.71,802,64124,Y,W,F,N
41763,0.11,802,64134,Y,B,F,N
41687,0.32,630,64137,U,U,U,N
41816,0.58,630,64111,U,B,M,N
41846,0.33,1401,64110,U,W,M,N
41796,0.92,1401,64118,U,W,M,N
41907,0.65,401,64128,U,B,M,Y
41779,0.97,1849,64116,U,,,N
41733,0.5,1198,64132,U,B,F,N
41805,0.65,2530,64124,U,,,N
41970,0.02,302,64106,N,W,M,N
41814,0.89,840,64126,U,W,M,N
41998,0.6,640,64161,U,W,F,N
41838,0.96,690,64110,U,B,F,N
41850,0.89,630,64133,U,,,N
41943,0.38,201,64124,U,W,F,N
42000,0.4,650,64151,N,U,M,N
41893,0.69,2601,64154,N,W,F,N
41948,0.6,650,64120,N,U,U,N
41756,0.57,1401,64130,U,B,F,N
41909,0.88,650,64129,U,U,U,N
41933,0.9,401,64108,U,B,M,Y
41837,0,501,64109,U,A,M,N
41765,0.2,801,64131,N,W,M,N
41742,0.15,2601,64126,U,,,N
41773,0.94,302,64111,U,U,U,N
41870,0.92,799,64105,U,B,M,N
41731,0.99,802,64134,Y,B,M,N
41878,0.49,831,64128,N,W,M,N
41939,0.74,802,64109,Y,B,M,N
41816,0.86,2201,64106,U,W,F,N
41879,0.71,1401,64108,U,W,M,N
41970,0.83,802,64134,Y,W,M,N
41785,0.18,1401,64127,U,B,M,N
41787,0.57,1401,64116,U,,,N
